HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
GRTI,Great Tinamou,Tinamus major,TINMAJ
LITI,Little Tinamou,Crypturellus soui,CRYSOU
THTI,Thicket Tinamou,Crypturellus cinnamomeus,CRYCIN
SBTI,Slaty-breasted Tinamou,Crypturellus boucardi,CRYBOU
CHTI,Choco Tinamou,Crypturellus kerriae,CRYKER
WFWD,White-faced Whistling-Duck,Dendrocygna viduata,DENVID
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,DENAUT
WIWD,West Indian Whistling-Duck,Dendrocygna arborea,DENARB
FUWD,Fulvous Whistling-Duck,Dendrocygna bicolor,DENBIC
EMGO,Emperor Goose,Anser canagicus,ANSCAN
SNGO,Snow Goose,Anser caerulescens,ANSCAE
LSGW,Lesser Snow Goose White-morph,Anser caerulescens caerulescens,ANSCCA
LSGI,Lesser Snow Goose Intermediate-morph,Anser caerulescens caerulescens,ANSCCA
LSGB,Lesser Snow Goose Blue-morph,Anser caerulescens caerulescens,ANSCCA
GSGW,Greater Snow Goose White-morph,Anser caerulescens atlantica,ANSCA
GSGI,Greater Snow Goose Intermediate-morph,Anser caerulescens atlantica,ANSCA
GSGB,Greater Snow Goose Blue-morph,Anser caerulescens atlantica,ANSCA
SRGH,Snow X Ross's Goose Hybrid,Anser caerulescens x rossii,ANSCA
SRGO,Snow/Ross's Goose,Anser caerulescens/rossii,ANSCR
ROGO,Ross's Goose,Anser rossii,ANSRO
GRGO,Graylag Goose,Anser anser,ANSAN
GWFG,Greater White-fronted Goose,Anser albifrons,ANSAL
TWFG,Tule Greater White-fronted Goose,Anser albifrons elgasi,ANSAL
LWFG,Lesser White-fronted Goose,Anser erythropus,ANSER
TABG,Taiga Bean-Goose,Anser fabalis,ANSFA
TUBG,Tundra Bean-Goose,Anser serrirostris,ANSSE
PFGO,Pink-footed Goose,Anser brachyrhynchus,ANSBR
BRAN,Brant,Branta bernicla,BRABE
ATBR,Atlantic Brant,Branta bernicula bernicula,BRABB
BABI,Black X Atlantic Brant Intergrade,Branta bernicula bernicula x nigrican,BRABB
BLBR,Black Brant,Branta bernicula nigricans,BRABN
BARG,Barnacle Goose,Branta leucopsis,BRALE
